article_id	talk_page_id	talk_page	thread_id	thread_title
37781537	37781537	User_talk:Siddhesht	547	== Welcome! ==
37781537	37781537	User_talk:Siddhesht	549	==[[Wikipedia:Criteria for speedy deletion|Speedy deletion]] nomination of [[:CBIL360]]==
5562976	5562976	User_talk:Local_Direct_Ltd	554	==User page==
35339517	35339517	User_talk:Funkylasse	560	==Can you provide full citation info please?==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	565	== Title ==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	568	== Precedence of Princes of the Blood Royal in England ==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	570	== Prince William relevance ==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	573	== Duke of Lancaster ==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	575	== Royal Dukedoms of the house of Windsor? ==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	577	== Prince Edward ==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	580	== precedence ==
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom	582	== Dukes of Here and There ==
37605911	37605911	User_talk:86.144.127.184	596	== November 2012 ==
37050828	37050828	User_talk:117.205.249.72	601	==Your recent edits==
41978915	41978915	User_talk:24.224.240.180	606	== Welcome to Wikipedia! ==
41978915	41978915	User_talk:24.224.240.180	608	== February 2014 ==
41978915	41978915	User_talk:24.224.240.180	612	== February 2014 ==
41978915	41978915	User_talk:24.224.240.180	618	== March 2014 ==
41978915	41978915	User_talk:24.224.240.180	622	== September 2014 ==
41978915	41978915	User_talk:24.224.240.180	628	== April 2015 ==
41978915	41978915	User_talk:24.224.240.180	631	== May 2015 ==
11001655	11001655	User_talk:Cooljana2k	640	== Thank you for your contribution to the [[Sivaji: The Boss]] article. ==
34646647	34646647	User_talk:Kepley101	646	== Regarding the article you created about yourself ==
11152274	11152274	User_talk:Ebiya~enwiki	653	==May 2007==
11152274	11152274	User_talk:Ebiya~enwiki	654	=={{{header-text|Notability of [[:Josef Ebiya]]}}}==
11152274	11152274	User_talk:Ebiya~enwiki	657	== Your account will be renamed ==
11152274	11152274	User_talk:Ebiya~enwiki	660	== Renamed ==
19893947	19893947	User_talk:98.19.82.3	667	== October 2008 ==
12971238	12971238	Talk:Co-phenotrope	682	==If==
12971238	12971238	Talk:Co-phenotrope	684	== Parastesis?? ==
12971238	12971238	Talk:Co-phenotrope	686	==Moving page==
12971238	12971238	Talk:Co-phenotrope	688	== Active ingredients may vary by region ==
5425524	5425524	Talk:IsoHunt	693	== Cleanup request ==
5425524	5425524	Talk:IsoHunt	695	==Un-warranted neutrality dispute?==
5425524	5425524	Talk:IsoHunt	705	== down ==
5425524	5425524	Talk:IsoHunt	712	== Cleanup ==
5425524	5425524	Talk:IsoHunt	715	== Down 2008/02/17 ==
5425524	5425524	Talk:IsoHunt	717	== Dubai Censorship 12/03/2008 ==
5425524	5425524	Talk:IsoHunt	720	== Canada ==
5425524	5425524	Talk:IsoHunt	724	== Severe bias ==
5425524	5425524	Talk:IsoHunt	727	== Add section behind the scenes ==
5425524	5425524	Talk:IsoHunt	729	== Wikipedia Page had been changed ==
5425524	5425524	Talk:IsoHunt	731	== IsoHunt repalced with &quot;IsoHunt Lite&quot; for US users ==
5425524	5425524	Talk:IsoHunt	735	== April 2010 shutdown ==
5425524	5425524	Talk:IsoHunt	738	== isohunt inc. was isohunt.com, but is not isohunt.to ==
23660754	23660754	User_talk:87.116.29.129	750	== July 2009 ==
35286759	35286759	User_talk:E.Maturin	757	== Welcome to Wikipedia! ... and an invitation to the Teahouse! ==
42626048	42626048	User_talk:Philanthropist_1001	762	==License tagging for File:Nabih berri2.jpeg==
42626048	42626048	User_talk:Philanthropist_1001	764	==License tagging for File:Nabih berri.jpeg==
42626048	42626048	User_talk:Philanthropist_1001	766	==Unsourced edits==
42626048	42626048	User_talk:Philanthropist_1001	768	== Replaceable fair use File:Nabih berri2.jpeg ==
42626048	42626048	User_talk:Philanthropist_1001	770	==Sockpuppet investigation==
42626048	42626048	User_talk:Philanthropist_1001	773	==Sockpuppet investigation==
25709815	25709815	User_talk:Romester101	781	==[[Wikipedia:Criteria for speedy deletion|Speedy deletion]] nomination of [[:Romeo Ellman]]==
15472284	15472284	User_talk:68.44.71.114	785	== January 2008 ==
24266634	24266634	User_talk:71.153.168.117	799	== September 2009 ==
36642593	36642593	User_talk:220.233.46.108	813	== August 2012 ==
33123143	33123143	User_talk:Oddacon	821	== Your submission at [[Wikipedia:Articles for creation|Articles for creation]] ==
33123143	33123143	User_talk:Oddacon	824	==[[Wikipedia talk:Articles for creation/Archaeocryptography]] concern==
33123143	33123143	User_talk:Oddacon	826	== Your submission at AfC [[Wikipedia_talk:Articles_for_creation/Archaeocryptography|Archaeocryptography]] was accepted ==
26657961	26657961	User_talk:119.111.81.198	842	== Welcome ==
31142292	31142292	User_talk:110.174.193.107	846	== March 2011 ==
18554340	18554340	User_talk:203.87.176.8	850	== July 2008 ==
18554340	18554340	User_talk:203.87.176.8	853	== August 2008 ==
18554340	18554340	User_talk:203.87.176.8	855	==November 2008==
18554340	18554340	User_talk:203.87.176.8	857	== January 2009 ==
18554340	18554340	User_talk:203.87.176.8	859	== February 2009 ==
18554340	18554340	User_talk:203.87.176.8	861	== April 2009 ==
18554340	18554340	User_talk:203.87.176.8	864	== August 2009 ==
39049978	39049978	User_talk:146.110.132.254	868	== April 2013 ==
26607042	26607042	User_talk:Lizzard388	879	==Welcome==
26607042	26607042	User_talk:Lizzard388	882	== [[User:Lizzard388/Example/Steiner Electric]] ==
26607042	26607042	User_talk:Lizzard388	884	== Help making my page mainstay ready! ==
45926691	45926691	User_talk:Klumpp~enwiki	892	== Your account will be renamed ==
45926691	45926691	User_talk:Klumpp~enwiki	895	== Renamed ==
13607808	13607808	Talk:KPNO	904	==Rationale for deletion of disambiguation page==
30005844	30005844	User_talk:67.183.20.117	912	== December 2010 ==
1495437	1495437	Talk:Muhammad/Archive_1	923	== Illiterate and poor ==
1495437	1495437	Talk:Muhammad/Archive_1	925	==What do you mean shai POV?==
1495437	1495437	Talk:Muhammad/Archive_1	928	==WTF!?!==
1495437	1495437	Talk:Muhammad/Archive_1	930	==Muhammad's childhood==
1495437	1495437	Talk:Muhammad/Archive_1	932	==Problems?==
1495437	1495437	Talk:Muhammad/Archive_1	948	==Biggest deficiencies==
1495437	1495437	Talk:Muhammad/Archive_1	950	==Wiki to begin obeying the Shariat?==
1495437	1495437	Talk:Muhammad/Archive_1	957	== article is not neutral ==
1495437	1495437	Talk:Muhammad/Archive_1	971	== General thoughts about the article ==
1495437	1495437	Talk:Muhammad/Archive_1	976	== The incongruities section ==
1495437	1495437	Talk:Muhammad/Archive_1	979	== Razzia section ==
1495437	1495437	Talk:Muhammad/Archive_1	991	==aims or claims==
1495437	1495437	Talk:Muhammad/Archive_1	999	== Muhammad ==
1495437	1495437	Talk:Muhammad/Archive_1	1001	== Caliphate Expansion ==
1495437	1495437	Talk:Muhammad/Archive_1	1005	== Religious neutrality ==
1495437	1495437	Talk:Muhammad/Archive_1	1009	== NPOV warnings ==
1495437	1495437	Talk:Muhammad/Archive_1	1021	==death==
1495437	1495437	Talk:Muhammad/Archive_1	1032	== A more scholarly article? ==
1495437	1495437	Talk:Muhammad/Archive_1	1051	== Major revision ==
1495437	1495437	Talk:Muhammad/Archive_1	1081	== References ==
1495437	1495437	Talk:Muhammad/Archive_1	1083	== Broke up pro and con section, moved it to other parts of article ==
1495437	1495437	Talk:Muhammad/Archive_1	1086	==Question==
1495437	1495437	Talk:Muhammad/Archive_1	1091	==OneGuy and his reverts==
1495437	1495437	Talk:Muhammad/Archive_1	1098	== Fight on another page, please ==
1495437	1495437	Talk:Muhammad/Archive_1	1109	==Aisha's marriage and consumation==
1495437	1495437	Talk:Muhammad/Archive_1	1112	==Aisha==
1495437	1495437	Talk:Muhammad/Archive_1	1114	==Boys over 12==
1495437	1495437	Talk:Muhammad/Archive_1	1119	==Ibn Hisam Puberty Quote==
1495437	1495437	Talk:Muhammad/Archive_1	1121	== Anonymous deleter ==
1495437	1495437	Talk:Muhammad/Archive_1	1123	== Edit war in Muhammad as warrior ==
1495437	1495437	Talk:Muhammad/Archive_1	1129	== Created Muhammad as warrior page ==
1495437	1495437	Talk:Muhammad/Archive_1	1134	==The criticism sections==
1495437	1495437	Talk:Muhammad/Archive_1	1142	== Rearranged per Mustafaa's suggestions ==
1495437	1495437	Talk:Muhammad/Archive_1	1146	== Islam before Muhammad ==
1495437	1495437	Talk:Muhammad/Archive_1	1149	==Timeline==
1495437	1495437	Talk:Muhammad/Archive_1	1151	== Your restraint is appreciated, IFaqeer ==
1495437	1495437	Talk:Muhammad/Archive_1	1154	== Someone unclear on the concept put these here ==
1495437	1495437	Talk:Muhammad/Archive_1	1156	== Latest revisions ==
1495437	1495437	Talk:Muhammad/Archive_1	1159	== These latest additions about Ali are seriously biased ==
1495437	1495437	Talk:Muhammad/Archive_1	1167	== Death of Muhammad ==
1495437	1495437	Talk:Muhammad/Archive_1	1181	== Describing first revelation ==
20606179	20606179	User_talk:70.108.161.229	1192	==Welcome to Wikipedia==
20944988	20944988	User_talk:72.76.29.239	1202	== January 2009 ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1210	== Movie not titled &quot;Harold &amp; Kumar go to Amsterdam&quot; ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1212	== &quot;... End up in Gitmo&quot; title ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1215	==Release Date==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1219	==What Happened?==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1222	==Bias?==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1225	== Should the 'Plot' be removed? ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1229	== budget ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1231	== Rosenberg and Goldstein. ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1233	== Sequel ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1237	== Whiplash ==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1239	==Plot details==
3855071	3855071	Talk:Harold_&_Kumar_Escape_from_Guantanamo_Bay	1244	== REQUEST ==
31045582	31045582	User_talk:134.32.21.103	1249	== March 2011 ==
31402704	31402704	User_talk:Cult_of_rina	1254	==[[:Zillya!]]==
31402704	31402704	User_talk:Cult_of_rina	1256	==[[Wikipedia:Criteria for speedy deletion|Speedy deletion]] nomination of [[:Zillya!]]==
31402704	31402704	User_talk:Cult_of_rina	1258	== [[Wikipedia:Proposed deletion|Proposed deletion]] of [[Zillya!]] ==
31402704	31402704	User_talk:Cult_of_rina	1261	== Nomination of [[Zillya!]] for deletion ==
3968736	3968736	User_talk:Danjp123	1281	==Image copyright problem with Image:183.jpg==
20101867	20101867	User_talk:Stevoboi	1293	==Speedy deletion of [[:Empires Of Galldon]]==
20101867	20101867	User_talk:Stevoboi	1295	==Speedy deletion of [[:Empires Of Galldon]]==
20101867	20101867	User_talk:Stevoboi	1297	==Promotional editing==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1313	==Discussion==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1316	== Merging the 2004 and the 2005 to te Royal Rumble Page ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1319	== Facts and trivia ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1321	== Merge ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1323	== Moving of Pages ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1325	== My edits ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1327	== Format ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1329	== 2007 Rumble ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1332	== Facts ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1335	== Royal Rumble Box/Template ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1341	== Shortest Lasting In The Rumble ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1347	==2 Seconds==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1349	== Booking the Rumble ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1352	== Longest Lasting In The Rumble ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1359	== Viscera was the most to be eliminated? ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1361	== Footnotes ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1363	== Stats ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1365	== Elimination ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1377	== Trivia --- People not technically eliminated ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1383	== 7th Straight win ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1387	== 3bullet ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1392	== Entry Slots ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1396	== Runners-Up ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1399	== Benoit ==
2997921	21290909	Talk:Royal_Rumble/Archive_1	1404	== First High Definition PPV ==
14515195	14515195	User_talk:72.148.245.197	1422	==Regarding edits made during [[December 1]] [[2007]]==
14515195	14515195	User_talk:72.148.245.197	1424	== May 2008 ==
3739390	3739390	User_talk:Mfmoran	1429	== User page ==
39089350	39089350	User_talk:60.230.204.196	1436	== April 2013 ==
24001303	24001303	User_talk:222.127.91.75	1441	== August 2009 ==
25971262	25971262	User_talk:86.2.41.9	1445	== January 2010 ==
36097650	36097650	User_talk:Joshk12	1449	== June 2012 ==
4205343	4205343	User_talk:Ellis2ca	1458	== Mediation Case: Anti-Brahmanism ==
4205343	4205343	User_talk:Ellis2ca	1461	== August 2008 ==
4205343	4205343	User_talk:Ellis2ca	1463	==Conflict of interest policy==
4205343	4205343	User_talk:Ellis2ca	1465	==Lentil article==
30630319	30630319	User_talk:Hmate9	1473	==Your contributed article, [[Runescape guide]]==
17276658	17276658	User_talk:142.30.154.49	1477	== May 2008 ==
23804184	23804184	Talk:Turtle_Bay,_Oahu	1483	==Move discussion in progress==
32688234	32688234	User_talk:182.71.101.170	1487	== Welcome! ==
32688234	32688234	User_talk:182.71.101.170	1489	== August 2011 ==
4859518	4859518	Talk:Rhaetian_Railway	1501	== Infobox ==
4859518	4859518	Talk:Rhaetian_Railway	1503	==  Info boxes ==
4859518	4859518	Talk:Rhaetian_Railway	1505	== The &quot;Googling&quot; of the line from Thusis to Tirano  ==
37580224	37580224	User_talk:79.78.249.188	1510	== November 2012 ==
10343195	10343195	User_talk:81.208.83.235	1519	== October 2008 ==
24410482	24410482	User_talk:82.28.70.149	1524	== September 2009 ==
22259467	22259467	User_talk:Intheknow24	1532	== Welcome ==
43757592	43757592	User_talk:24.91.77.22	1536	== September 2014 ==
32001606	32001606	Talk:Open_Marxism	1542	==Categorization==
36719046	36719046	User_talk:59.90.86.143	1549	== August 2012 ==
21659493	21659493	User_talk:65.10.164.86	1554	== February 2009 ==
38416358	38416358	User_talk:74.179.56.243	1558	== February 2013 ==
46871068	46871068	User_talk:Mrdumo/TWA/Earth	1563	==Reliable sources about Earth?==
46871068	46871068	User_talk:Mrdumo/TWA/Earth	1566	==Summary from the Source==
46871068	46871068	User_talk:Mrdumo/TWA/Earth	1569	== What are you doing?? ==
46871068	46871068	User_talk:Mrdumo/TWA/Earth	1574	==Imagine images!==
821926	6687635	Talk:Kingdom_of_Judah/archive1	1579	==2004 talk==
821926	6687635	Talk:Kingdom_of_Judah/archive1	1583	== Synchronisms with other kingdoms? ==
821926	6687635	Talk:Kingdom_of_Judah/archive1	1585	== BCE/CE again ==
821926	6687635	Talk:Kingdom_of_Judah/archive1	1614	=== Stalking ===
821926	6687635	Talk:Kingdom_of_Judah/archive1	1618	== BCE/BC - reminder of sitewide compromise==
821926	821926	Talk:Kingdom_of_Judah	1662	==From the end of the Kingdom ...==
821926	821926	Talk:Kingdom_of_Judah	1667	==Judah and Israel==
821926	821926	Talk:Kingdom_of_Judah	1673	== Image ==
821926	821926	Talk:Kingdom_of_Judah	1676	==Table==
821926	821926	Talk:Kingdom_of_Judah	1678	== Map may need fixing ==
821926	821926	Talk:Kingdom_of_Judah	1680	==Bible as source?==
821926	821926	Talk:Kingdom_of_Judah	1686	== &quot;God's Worshipper's Kingdom&quot; ==
821926	821926	Talk:Kingdom_of_Judah	1689	== Timeline ==
821926	821926	Talk:Kingdom_of_Judah	1693	==Incorrect Scriptural Citation==
821926	821926	Talk:Kingdom_of_Judah	1696	== New lead ==
821926	821926	Talk:Kingdom_of_Judah	1700	== Serious lack of photos and illustrations in the article ==
821926	821926	Talk:Kingdom_of_Judah	1702	== This article is outdated ==
821926	821926	Talk:Kingdom_of_Judah	1706	==Archeology==
821926	821926	Talk:Kingdom_of_Judah	1708	== MAP ==
821926	821926	Talk:Kingdom_of_Judah	1711	== The Thirteen Tribes of Israel ==
821926	821926	Talk:Kingdom_of_Judah	1714	== Reorganization of Headings? ==
47542154	47542154	User_talk:Babies_de_Hen	1720	==August 2015==
47542154	47542154	User_talk:Babies_de_Hen	1723	== Deletion template removal ==
47542154	47542154	User_talk:Babies_de_Hen	1725	== August 2015 ==
41395682	41395682	User_talk:Wren15	1736	== December 2013 ==
19092247	19092247	User_talk:Ikky08	1740	==Speedy deletion of [[:Saif malik]]==
46138929	46138929	User_talk:Tobias2202~enwiki	1750	== Your account will be renamed ==
46138929	46138929	User_talk:Tobias2202~enwiki	1753	== Renamed ==
14061479	14061479	Talk:Bennington_Free_Library	1759	==Untitled==
37578608	37578608	User_talk:109.158.191.159	1766	== November 2012 ==
36979358	36979358	Talk:18th_Arizona_Territorial_Legislature	1772	== First sentence ==
5701821	5701821	Talk:Mt._Spokane_High_School	1784	==Merge==
5701821	5701821	Talk:Mt._Spokane_High_School	1787	==Page move==
5701821	5701821	Talk:Mt._Spokane_High_School	1790	== Requested move ==
5701821	5701821	Talk:Mt._Spokane_High_School	1792	===Survey===
5701821	5701821	Talk:Mt._Spokane_High_School	1794	====Survey - Support votes====
5701821	5701821	Talk:Mt._Spokane_High_School	1795	====Survey - Oppose votes====
5701821	5701821	Talk:Mt._Spokane_High_School	1797	===Discussion===
9278858	9278858	Talk:Love_Bites_(album)	1802	== Professional review / External link suggestion ==
31461893	31461893	User_talk:Gush01	1812	== April 2011 ==
31461893	31461893	User_talk:Gush01	1818	==[[Wikipedia:Criteria for speedy deletion|Speedy deletion]] nomination of [[:Faye Valintine]]==
39942193	39942193	User_talk:106.192.27.210	1822	== July 2013 ==
45331647	45331647	User_talk:101.217.217.112	1827	== February 2015 ==
17466148	17466148	User_talk:Danster3461	1835	== May 2008 ==
17306631	6574149	Talk:Ryan_Jones	1843	== WikiProject class rating==
17306631	6574149	Talk:Ryan_Jones	1845	==Why?==
31602021	31602021	User_talk:60.48.218.48	1850	== April 2011 ==
45765569	45765569	User_talk:Bernadete~enwiki	1855	== Your account will be renamed ==
45765569	45765569	User_talk:Bernadete~enwiki	1858	== Renamed ==
27071971	27071971	User_talk:82.24.26.167	1863	== April 2010 ==
26323895	26323895	User_talk:194.158.204.86	1868	== Welcome ==
13516632	13516632	User_talk:Ericroxas	1875	==Speedy deletion of [[:Eric roxas]]==
13516632	13516632	User_talk:Ericroxas	1877	==Whoosh==
13516632	13516632	User_talk:Ericroxas	1879	==AfD nomination of [[Whoosh]]==
8552897	6841990	Talk:Hinduism/Archive_9	1884	==Hindu is the right word ==
8552897	6841990	Talk:Hinduism/Archive_9	1888	==It should say ancient India not Indian subcontinent==
8552897	6841990	Talk:Hinduism/Archive_9	1891	==Introductory Paragraph==
8552897	6841990	Talk:Hinduism/Archive_9	1893	==Serious issues in the article==
8552897	6841990	Talk:Hinduism/Archive_9	1903	==Consensus on Naming Conventions==
8552897	6841990	Talk:Hinduism/Archive_9	1906	==Citation and Substantiation==
8552897	6841990	Talk:Hinduism/Archive_9	1910	== Archive ==
8552897	6841990	Talk:Hinduism/Archive_9	1913	== Oldest existent religion in the world? ==
8552897	6841990	Talk:Hinduism/Archive_9	1922	== The Definition of Hinduism and Against Abramitic Campaign of the &quot;Galileans&quot; ==
8552897	6841990	Talk:Hinduism/Archive_9	1943	==Is this text needed?==
8552897	6841990	Talk:Hinduism/Archive_9	1947	==Quality of references==
8552897	6841990	Talk:Hinduism/Archive_9	1955	==On Advaita Vedanta and &quot;Monism&quot;==
8552897	6841990	Talk:Hinduism/Archive_9	1960	==Hindu symbolism==
